Fantastic Voyage: Prologue	Complete "Fantastic Voyage" and unlock all endings.		No	1.4	20
Archaic Lord of Lightning and Blitz	Witness the awesome meteorological power of Bennett's phenomenally bad luck.	Complete Ad Astra...	Yes	1.4	5
The Power of Luck	Activate the mechanisms and obtain the treasure without making any mistakes.	Successfully complete the mechanism puzzle in Expansive Eya.	Yes	1.4	5
Evil Is Banished	Complete "Signs of Evil" and unlock all endings.		No	1.4	20
Behold, Mine Evil-Espying Eye!	Correctly interpret all clues.	Completely interpret all clues in On The Evil Spirits' Trail.	Yes	1.4	5
Red Hot Chili Popsicles	Make a popsicle using the wrong recipe and provoke Chongyun's Pure-Yang spirit.	Make popsicles out of Jueyun Chili and Slime Condensate in A Curious Mix.	Yes	1.4	5
A Line That May Be Crossed	Complete "Wellspring of Healing" and unlock all endings.		No	1.4	20
An Idol's Last Line of Defense	Successfully persuade Albert and Barbara's other fans to leave.	Complete Albert is Amenable To Reason and persuade Barbara's fans to leave in The Cat's Tail's Specialty.	Yes	1.4	5
Mondstadt's Spiciest Surprise	Sample Barbara's Chilibrew.	Complete Home-Made Chilibrew.	Yes	1.4	5
A Maid of Strength and Virtue	Complete "Chivalric Training" and unlock all endings.		No	1.4	20
"...For I Am Duty Bound"	Help Noelle discover the source of her strength.	Complete Live Practice.	Yes	1.4	5
A World Known Only Unto Roses	Read Noelle's study notes.	Read Noelle's study notes after completing The Almighty Maid and Her Impossible Task.	Yes	1.4	5
Stress Relief	Complete "Knightly Exam Prep" and unlock all endings.		No	1.5	20
Invulnerable Maid-Knight	Listen to "A Knight's Journey Through Liyue" with Noelle.	Complete A Knight's Journey Through Liyue.	Yes	1.5	5
Mondstadt's Note-Taker General	Read Noelle's study notes.	Read Noelle's study notes at the end of Imperfect Examination.	Yes	1.5	5
Diona Special, Stirred, Not Shaken	Complete "The Cat and the Cocktail" and unlock all endings.		No	1.5	20
But There's a Catch...	Help Diona find a special base drink.	Complete The Shadow Over Dadaupa.	Yes	1.5	5
Kitten Queen	Bring all the cats back to The Cat's Tail.	Complete When the Cats Come Home.	Yes	1.5	5
Everyone's Happy	Complete "A Housekeeper's Daily Chores" and unlock all endings.		No	2.2	20
Housekeeper Extraordinaire	Complete the big cleanup within the time limit	Complete Small-Scale Changes.	Yes	2.2	5
From the Sea Never Returning	Learn of Inu Shoushou's story together with Thoma	Complete Those Who Can Never Return.	Yes	2.2	5
Taller by Half	Complete "Yoohoo Art: Seichou no Jutsu" and unlock all endings.		No	2.2	20
Mujina-Class Ninja	Obtain Sayu's highest rating during agility training.	Complete the challenge in Twinjutsu within 30 seconds.	Yes	2.2	5
Dish Effect: Mobility Decreased	You were unable to prevent Sayu's reckless consumption...	Complete Hard Work Pays Off.	Yes	2.2	5
General of Watatsumi	Complete "The Canine General's Special Operations" and unlock all endings.		No	2.3	20
Changing Times	Draw all fortune slips at the Grand Narukami Shrine.	Select all fortune slips in Praying for Fortune.	Yes	2.3	5
To Tell or Not to Tell, That Is the Question	Discover Ms. Hina's true identity at the Yae Publishing House.	Complete (Temporary) Secret-Keeper.	Yes	2.3	5
Honorary Crux Member	Complete "When the Crux Shines Bright" and unlock all endings.		No	2.3	20
Wine Unburdens	Take part in the Qingce banquet with Beidou.	Complete Honorary Villager.	Yes	2.3	5
Guyun Buyers' Club	Find out the truth behind the deal Beidou's making.	Complete A Strange Transaction.	Yes	2.3	5
Megrez's Companion Star	Complete "The Jade Chamber's Returning Guest" and unlock all endings.		No	2.4	20
You've Got to Have Reserves	Fish? The more the merrier, of course!	Collect four extra Plump Fish at the end of Open Resources, Thrifty Expenditure.	Yes	2.4	5
Overprotectiveness	A single stone births a thousand ripples. It seems like Ningguang's day off is not to be.	Complete Confrontation.	Yes	2.4	5
The Lingering Song	Complete "A Song That Knows Grace" and unlock all endings.		No	2.4	20
