Tales of Monstrous Madness  Collect the entire "Toki Alley Tales" series.		Yes	Exploration	2.1	5


Zoo Tycoon	Use the Omni-Ubiquity Net item to capture 1 wild animal.		No	Exploration	2.3	5


Zoo Tycoon	Use the Omni-Ubiquity Net item to capture 30 wild animals.		No	Exploration	2.3	10


Zoo Tycoon	Use the Omni-Ubiquity Net item to capture 100 wild animals.		No	Exploration	2.3	20


It's Yesterday Once More	Activate 10 tunes in the Serenitea Pot using the Euphonium Unbound furnishing series.	Collect and activate 10 Radiant Spincrystals.	No	Exploration	2.6	5


It's Yesterday Once More	Activate 30 tunes in the Serenitea Pot using the Euphonium Unbound furnishing series.	Collect and activate 30 Radiant Spincrystals.	No	Exploration	2.6	10


It's Yesterday Once More	Activate 60 tunes in the Serenitea Pot using the Euphonium Unbound furnishing series.	Collect and activate 60 Radiant Spincrystals.	No	Exploration	2.6	20


Overlooking View	Reach the very top of Qingyun Peak.		No	Exploration	1.0	5


The Remains of the Gale	Reach the top of the tower in Stormterror's Lair.		Yes	Exploration	1.0	5


"Seeds of Stories, Brought by the Wind..."	Reach the nameless island northeast of Mondstadt.		Yes	Exploration	1.0	5


Unswerving	Open the chest in the middle of the heart-shaped rock formation.	Requires two players (Co-Op) to stand in the heart for the chest to spawn.	Yes	Exploration	1.0	5


Initiating Warp Drive!	Pass through the time tunnel in the skies of Cape Oath.		Yes	Exploration	1.0	5


Beloved of the Anemo Archon	Take a seat in the hands of the God Statue in Mondstadt.		Yes	Exploration	1.0	5


The Best Sword in the Cemetery	Unlock the Tri-Seal of the Sword Cemetery.	Complete Break the Sword Cemetery Seal.	Yes	Quest	1.0	5


Hidden Palace of Guizang Formula	Follow in the footsteps of immortals, and unlock the Domain's door.	Unlock Hidden Palace of Guizang Formula.	Yes	Exploration	1.0	5


Cecilia Garden	Return the Seelie to their rightful places and unlock the entrance to a Domain in Wolvendom.	Unlock Cecilia Garden.	Yes	Exploration	1.0	5


Hidden Palace of Zhou Formula	Follow the Seelie and light the torches to unlock the entrance to a domain in Wuwang Hill.	Unlock Hidden Palace of Zhou Formula.	Yes	Exploration	1.0	5


"If you put your heart into it..."	Cook 1 suspicious-tasting dish.	Fail the cooking mini-game and produce a Suspicious-quality dish.	Yes	Exploration	1.0	5


"...Anyone can be a gourmet."	Cook 10 suspicious-tasting dishes.	Fail the cooking mini-game and produce a Suspicious-quality dish 10 times.	Yes	Exploration	1.0	5


Boared to Death	Be defeated by a wild boar.		Yes	Exploration	1.0	5


Golden Gliding License	Glide a long, long distance in one go.		Yes	Exploration	1.0	10


It's the Same As Having Wings	Glide continuously for over 80s.		Yes	Exploration	1.0	10


Quick As Lightning	Sprint continuously (or use an alternative sprint) for over 15s.		Yes	Exploration	1.0	10


Friends the World Over	Meet all sorts of people during your adventure.	Achieve a total of 10,000 dialogue option interactions when speaking with NPCs.	Yes	Exploration	1.1	10


Megastar in Mondstadt	Reach Reputation Lv. 8 in Mondstadt.		No	Exploration	1.1	20


Legend in Liyue	Reach Reputation Lv. 8 in Liyue.		No	Exploration	1.1	20


Illustrious in Inazuma	Reach Reputation Lv. 10 in Inazuma.		Yes	Exploration	2.0	20


QUEST CLEAR	Complete 10 Bounties.		No	Exploration	1.1	5


QUEST CLEAR	Complete 20 Bounties.		No	Exploration	1.1	10


QUEST CLEAR	Complete 30 Bounties.		No	Exploration	1.1	20


Hero-in-Training	Complete 10 Requests.		No	Exploration	1.1	5


Hero-in-Training	Complete 20 Requests.		No	Exploration	1.1	10


Hero-in-Training	Complete 30 Requests.		No	Exploration	1.1	20


QUEST FAILED	Lost track of a Bounty target.	Run out of time during a Bounty.	Yes	Exploration	1.1	5


The Bleak Midwinter	Succumb to Sheer Cold...	Get any party member knocked out from Sheer Cold.	Yes	Exploration	1.2	5


Priest, Princess, and Scribe	Claim the treasure of the Entombed City.	Complete Dragonspine's Last Trio.	Yes	Exploration	1.2	5


Prodigal Son's Return	Follow the path of one of the members of the long-lost investigation team to where they embarked on their journey home.	Complete Ragged Records.	Yes	Exploration	1.2	5


Snow-Stored History	Discover the fate of a long-lost investigation team that once explored Dragonspine.	Complete A Land Entombed.	Yes	Quest	1.2	5


Glacial Steel	Obtain an ancient weapon made of Starsilver.	Complete Dragonspine's Glacial Secret.	Yes	Exploration	1.2	5


Futile Endeavor	Discover the remains of many ruin machines.	Complete Cryptic Message in Dragonspine.	Yes	Exploration	1.2	5


Untellable Tale	Make an unexpected friend in an unexpected location.	Complete The Foxes' Affection.	Yes	Exploration	1.2	5


Towering Achievement	Reach the summit of Dragonspine.	Collect the Crimson Agate at the summit of Dragonspine.	Yes	Exploration	1.2	5


Winter Wonderland	Discover a Cryo Crystalfly beneath a snow pile.		Yes	Exploration	1.2	5


The Hunter Becomes the Hunted	Be defeated by The Great Snowboar King.	Get any party member knocked out by The Great Snowboar King.	Yes	Exploration	1.2	5


Chill Out!	Defeat The Great Snowboar King while the latter is in berserker mode.	Berserker mode is when his eyes glow red and have eye trails.	Yes	Exploration	1.2	5


Glutton for Goulash	Learn to make Goulash.	Obtained from Ah, Fresh Meat!.	Yes	Quest	1.2	5


Wrath of the Gods	Get struck by lightning.		Yes	Exploration	1.2	5


Sky High	Climb the Skyfrost Nail after it has been restored.	Collect the Crimson Agate at the top of the Skyfrost Nail after completing In the Mountains.	Yes	Exploration	1.2	5


Transmutation Nuclide	Use the Parametric Transformer to complete one material transmutation.		No	Exploration	1.3	5


...You could hear Paimon all along, couldn't you?	Even Paimon gets tired sometimes.	Adjust the dialogue volume in the audio settings until Paimon repeats herself four times.	Yes	Exploration	1.4	5


Yo-Ho-Ho, and a Bottle of Dandelion Wine	Climb aboard your Waverider.		Yes	Exploration	1.6	5


Mighty and Illuminated Wave Rider	Continuously sail your Waverider for a certain period of time.		Yes	Exploration	1.6	5


Nice Boat!	Switch Waveriders with another player.		Yes	Exploration	1.6	5


...And Her Name Is the Mary Celeste	Suffer the destruction of your Waverider...		Yes	Exploration	1.6	5


Déjà Vu!	Continuously sail your Waverider at high speeds for a certain period of time.		Yes	Exploration	1.6	5


Yamada Go's Wooden Mallet	See through the illusions of the Tanuki several times.	Find 15 disguised Bake-Danukis.	Yes	Exploration	2.0	5


"Kujirai Art, Temari Jutsu"	Play a game of Temari with Kujirai.	After completing Temaria Game, unlock Temari in Co-op Mode by successfully completing three of Kid Kujirai's Temari challenges in one of his locations.	Yes	Exploration	2.0	5


Temari for Life	Have another player join a game of Temari that you are hosting.		Yes	Exploration	2.0	5


Paimon's Lucky Day!	Draw a "Great Fortune" fortune slip at the Grand Narukami Shrine.		Yes	Exploration	2.0	5


Just My Luck...	Draw a "Great Misfortune" fortune slip at the Grand Narukami Shrine.		Yes	Exploration	2.0	5


Underground... Overrated?	Sometimes, the real treasure is the things you learn along the way.	Earned during The Farmer's Treasure.	Yes	Quest	2.0	5


SHUUMATSU GAIDEN	Get caught up in the fight between the Shuumatsuban and the Fatui...	Complete Gendou Ringo's Strange Fortune Slips.	Yes	Exploration	2.4	5


Iwakura Out	Witness the end of the Iwakura Clan.	Complete Iwakura Art's Downfall.	Yes	Exploration	2.0	5


Who Let the Dogs Out	Set Toratarou free.	Toratarou can be found caged in the southeast corner of Jinren Island, and freed with a Metal Key.	Yes	Exploration	2.0	5


You Can't Help Your Feelings	Help Hiromi resolve his angst.	Complete Hiromi's Watch.	Yes	Quest	2.0	5


They Shall Not Grow Old	Pay your respects to the deceased.	Complete Pay Your Respects.	Yes	Exploration	2.0	5


Oh, the Humanity!	Witness the fate of the Samurai.	Complete the second part of Fate of a Fighter.	Yes	Quest	2.0	5


A Hollow Soul	Find Washizu's lost possessions.	Complete Sinister Instruction.	Yes	Quest	2.0	5


Rise and Shrine	Find all the shrines on Yashiori Island.	Complete Shrines of Yashiori Island.	Yes	Exploration	2.0	5


...And I Would Walk 3,000 More	Find Chouji on Tatarasuna and Narukami Island.	Complete Chouji's Travels.	Yes	Exploration	2.0	5


A Doctor's Odyssey	Find out what happened to Yasumoto.	Complete Yasumoto's Last Notes.	Yes	Exploration	2.0	5


Knock Knock	Disable the containment dome surrounding the Mikage Furnace.	Earned during Tatara Tales (Quest).	Yes	Quest	2.0	5


Kannazuka Battle Plan	Defeat the revived Electro Hypostasis.	Earned during Sakura Arborism.	Yes	Quest	2.0	5


Why We Fight	Help Masanori return to his senses.	Complete Dreams of Sword Art.	Yes	Quest	2.0	5


Oowazamono	Defeat Masanori with ease.	Defeat Masanori within 30 seconds.	Yes	Exploration	2.0	5


Second Blooming	Obtain Hanayama Kaoru's gift.	Complete Hanayama Kaoru's Flowery Plan.	Yes	Exploration	2.0	5


Thank You, Come Again	Obtain the grand prize from Takashi's chests.	Obtain the Hamayumi diagram from Takashi's chests.	Yes	Exploration	2.0	5


Shocking... Positively Shocking	Get struck down by Balethunder...		Yes	Exploration	2.0	5


Jackpot	Use the Kamuijima Cannon to reveal a treasure trove.	Fire the southern-most cannon in the Kannazuka region towards the Shakkei Pavilion domain, with an elevation of 2 notches.	Yes	Exploration	2.0	5


Blade of Tatara	Obtain the diagram of a certain weapon from the past.	Obtain the Katsuragikiri Nagamasa diagram from The Arsenal.	Yes	Exploration	2.0	5


Rest in Peace	End the wrath of 10 deceased samurai.	Complete Put Them To Rest.	Yes	Exploration	2.0	5


"That's What They Call a Getaway!"	Allow a struggling fish to get off the hook.		Yes	Exploration	2.1	5


"Oh, so That's How You Fish..."	Scare the fish away when casting your rod.		Yes	Exploration	2.1	5


As You Wish	Have your fortune told 5 times by Granny Komaki while obtaining an ideal result.	Complete Komaki's Spiritherb Fortune.	Yes	Exploration	2.1	5


A Mermaid's Tale	Help Kumi with her problem.	Complete Solitary Sea-Beast.	Yes	Quest	2.1	5


A Distant Sea Shepherd's Treasure	Gain the most valued treasure of a great pirate from the ramblings of drunkards.	Complete Rinzou's Treasure.	Yes	Exploration	2.1	5


